id,customer_name,product_name,product_part_no,mold_no,cavity,unit_weight_g,material,machine_tonnage,process_display,created_at,updated_at,issue_flags
255,苏州锐霸智能科技有限公司,SD-819端盖,11000060.0,WKT-MJ-LV-25032,1*2,129,ADC12,280T,01 -> 06 -> 21 -> 12 -> 28,2026-07-28 03:32:52,2026-07-28 10:33:14,料号带.0(Excel数值)
254,苏州锐霸智能科技有限公司,SD-819/826/826A头壳,11000061.0,WKT-MJ-LV-25031,1*2,387,ADC12,280T,01 -> 02 -> 11 -> 21 -> 12 -> 28,2026-07-28 03:32:52,2026-07-28 10:33:14,品名含/疑似多型号合并; 料号带.0(Excel数值); 疑似多Sheet同料号覆盖合并
227,苏州锐霸智能科技有限公司,819端盖,11000288.0,WKT-MJ-LV-24045,1*4,127,ADC12,280T,01 -> 06 -> 21 -> 12 -> 28,2026-07-28 03:32:52,2026-07-28 10:33:14,料号带.0(Excel数值)
